"Drug Name","NDC #","Total Rxs","Quantity","Total",
"ZTLIDO 1.8 % EXTERNAL PATCH****","69557-0111-30","5","300","3548.65"
"SYNJARDY 5-1000 MG TABLET","00597-0175-60","5","300","2537.54"
"PAXIL 20 MG ORAL TABLET","60505-4518-03","5","300","3195.34"
"VASCEPA 0.5 GM ORAL CAPSULE","52937-0003-40","5","300","496.30"
"DEPAKOTE 500MG TABLET DELAYED RELEASE","00074-7327-13","5","300","2227.78"
"SYNJARDY 5-1000MG TABLET XR","00597-0290-74","3","300","2870.19"
"BREZTRI AEROSPHERE 160-9-4.8 MCG/ACT INHALATION AEROSOL","00310-4616-12","24","299.6","18161.91"
"SYNTHROID 50MCG TABLET","00074-4552-90","3","270","437.18"
"CREON 36000UNIT CAPSULE","00032-3016-13","1","270","3242.10"
"LO LOESTRIN FE 1 MG-10 MCG / 10 MCG ORAL TABLET","00430-0420-14","3","252","1683.10"
"IYUZEH 0.005 % OPHTHALMIC SOLUTION","82584-0003-30","8","240","2400.24"
"ANORO ELLIPTA 62.5-25MCG/INH AEROSOL 60EA*****","00173-0869-10","4","240","1852.50"
"BREO ELLIPTA 200-25MCG/INH AEROSOL 60EA*******","00173-0882-10","4","240","1538.82"
"MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION","24208-0377-05","65","237","60715.82"
"OZEMPIC (2 MG/DOSE) 8 MG/3ML PEN-INJECTOR","00169-4772-12","53","231","73040.82"
"LUMIGAN 0.01% SOLUTION*****","00023-3205-08","28","210","21190.59"
"MYRBETRIQ 25MG TABLET****","00469-2601-30","7","210","2972.09"
"SYMTUZA 800-150-200-10MG TABLET","59676-0800-30","7","210","31392.44"
"VRAYLAR 3MG CAPSULE","61874-0130-30","7","210","10407.04"
"CONTOUR NEXT STRIP DME","00193-7308-50","2","200","29.95"
"TRINTELLIX 10MG TABLET****","64764-0730-30","6","180","2965.82"
"ABILIFY 5MG TABLET","59148-0007-13","6","180","3416.86"
"NEXLIZET 180-10MG TABLET","72426-0818-03","2","180","2386.32"
"NEXLETOL 180 MG ORAL TABLET","72426-0118-03","2","180","2386.32"
"CRESTOR 5MG TABLET","00310-7560-90","2","180","1547.43"
"CHOLESTYRAMINE LIGHT 4GM PACK","68382-0529-60","3","180","270.72"
"SYNTHROID 25 MCG ORAL TABLET","00074-4341-90","2","180","281.52"
"SYNTHROID 75MCG TABLET ***","00074-5182-90","2","180","290.89"
"SPIRIVA HANDIHALER 18MCG CAPSULE****","00597-0075-41","2","180","1932.38"
"KERENDIA 20MG TABLET","50419-0541-01","2","180","3826.36"
"CREON 6000-19000 UNIT ORAL CAPSULE DELAYED RELEASE PARTICLES","00032-0046-70","1","180","360.94"
"XARELTO 2.5 MG TABLET","50458-0577-60","1","180","1603.99"
"XIGDUO XR 5-500MG TABLET EXTENDED RELEASE","00310-6250-30","1","180","3346.08"
"OPZELURA 1.5 % EXTERNAL CREAM","50881-0007-05","3","180","6046.59"
"SANTYL 250 UNIT/GM EXTERNAL OINTMENT","50484-0010-90","2","180","1915.54"
"VEMLIDY 25 MG ORAL TABLET","61958-2301-01","5","150","7297.03"
"PENTASA 250 MG ORAL CAPSULE EXTENDED RELEASE","54092-0189-81","5","150","487.40"
"ROZEREM 8MG TABLET","64764-0805-30","5","150","1913.22"
"DEXILANT 60MG CAP ***","64764-0175-30","5","150","1458.38"
"ATORVALIQ 20 MG/5ML ORAL SUSPENSION","46287-0030-01","1","150","188.81"
"DOVATO 50-300 MG ORAL TABLET","49702-0246-13","5","150","14933.35"
"DEPAKOTE ER 250 MG TABLET","00074-7401-13","5","150","588.28"
"MOUNJARO 5 MG/0.5ML PEN-INJECTOR","00002-1495-80","54","136","70361.56"
"NURTEC 75MG TABLET DISINTEGRATING","72618-3000-02","8","128","16053.85"
"SYMBICORT 80-4.5MCG/ACT AEROSOL****","00186-0372-20","12","122.4","2480.16"
"REXULTI 1MG TABLET","59148-0037-13","4","120","5856.22"
"SYNJARDY XR 25-1000MG TABLET*****","00597-0295-88","2","120","2088.60"
"DAYVIGO 5 MG ORAL TABLET","62856-0405-30","4","120","1354.86"
"PREMARIN 0.625 MG/GM VAGINAL CREAM","00046-0872-21","4","120","1763.11"
"EUCRISA 2% OINTMENT*****","55724-0211-21","2","120","1538.48"
"AIRSUPRA 90-80 MCG/ACT INHALATION AEROSOL","00310-9080-12","11","117.7","5237.91"
"QVAR REDIHALER 40MCG/ACT AEROSOL****","59310-0302-40","10","106","2132.21"
"COMBIGAN 0.2-0.5% OPTH SOLUTION 15ML","00023-9211-15","7","105","4061.94"
"XHANCE 93 MCG/ACT NASAL EXHALER SUSPENSION","71143-0375-01","6","96","3887.09"
"DEXCOM G7 SENSOR","08627-0077-01","25","93","11670.50"
"QELBREE 150MG CAPSULE ER","17772-0132-30","3","90","1112.65"
"VEOZAH 45 MG ORAL TABLET","00469-2660-30","3","90","1641.96"
"XCOPRI 100 MG ORAL TABLET","71699-0100-30","3","90","3483.30"
"VENTOLIN HFA 108 (90 BASE) ***","00173-0682-20","3","90","288.42"
"NOVOLOG 100UNIT/ML SOLUTION****","00169-7501-11","3","90","617.91"
"SYNTHROID 137MCG TABLET ***","00074-3727-90","1","90","146.41"
"VELTASSA 8.4GM PACK","53436-0084-30","1","90","3072.59"
"VELTASSA 16.8 GM ORAL PACKET","53436-0168-30","1","90","3075.64"
"ARNUITY ELLIPTA 100 MCG/ACT INH AEROSOL","00173-0874-10","1","90","585.10"
"TRIJARDY XR 10-5-1000 MG ORAL TABLET EXTENDED RELEASE 24 HOUR","00597-0380-68","1","90","982.46"
