"Drug Name","NDC #","Total Rxs","Quantity","Total",
"PROMETHAZINE HCL 6.25 MG/5ML ORAL SOLUTION","70752-0138-12","4","740","19.40"
"CYCLOBENZAPRINE 10MG TABLET","72888-0014-00","14","725","65.01"
"ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% INHALATION NEBULIZATION SOLUTION","76204-0200-30","5","720","62.99"
"FOLIC ACID 1MG TABLET **","69315-0127-10","12","720","126.72"
"METOPROLOL SUCCINATE ER 100MG TABLET","70010-0782-05","8","720","177.77"
"CETIRIZINE HCL 1 MG/ML ORAL SOLUTION","51672-4070-08","2","720","35.54"
"CLOPIDOGREL BISULFATE 75 MG ORAL TABLET","43598-0121-05","10","704","30.03"
"LANCETS EASY COMFORT","91237-0001-16","5","700","207.03"
"AMLODIPINE 2.5MG TABLET","67877-0197-10","8","660","37.11"
"LAMOTRIGINE 25MG TABLET","65862-0227-01","2","660","20.97"
"IPRATROPIUM-ALBUTEROL 0.5-2.5 (3)MG/3ML SOLUTION","69097-0173-53","3","630","40.14"
"LEVETIRACETAM 500MG TAB ***","31722-0537-05","4","600","68.33"
"ALCOHOL PADS EASY COMFORT  ALPINE *****","91237-0001-28","4","600","86.03"
"PEN NEEDLES 32G X 4 MM","56151-2114-01","5","600","197.00"
"CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % EXTERNAL CREAM","00168-0258-46","11","585","223.72"
"GLIPIZIDE ER 10MG TABLET","59651-0782-05","5","570","66.25"
"DAPAGLIFLOZIN PROPANEDIOL 10MG TABLET","66993-0457-30","7","570","3452.90"
"GABAPENTIN 800 MG TABLET","65862-0524-05","4","570","38.84"
"IBUPROFEN 800MG TAB ****","67877-0321-05","9","541","66.13"
"PROPRANOLOL HCL 20 MG ORAL TABLET","69238-2078-07","4","540","34.12"
"BACLOFEN 10MG TAB ***","00172-4096-80","8","540","56.96"
"HYDRALAZINE HCL 100MG TABLET","23155-0835-01","2","540","17.20"
"LOSARTAN HCTZ 100-25MG TABLET","00093-7368-10","6","540","52.09"
"MELOXICAM 15MG TAB ***","69097-0159-12","16","534","60.67"
"FUROSEMIDE 20MG TAB ***","69315-0116-10","7","510","24.71"
"ROSUVASTATIN 10 MG ORAL TABLET","69367-0360-05","7","510","93.45"
"ATOVAQUONE 750 MG/5ML ORAL SUSPENSION","31722-0629-21","2","510","330.32"
"LANCETS PRODIGY","08484-0810-28","5","500","45.48"
"ALBUTEROL HFA 108  MCG/AC (VENTOLIN 18GM) ***","66993-0019-68","17","486","826.92"
"JANUVIA 100MG TAB","00006-0277-31","6","480","1875.19"
"LEVOTHYROXINE 100MCG TABLET","68180-0969-03","8","480","103.54"
"TRELEGY ELLIPTA 100-62.5-25MCG/INH AEROSOL","00173-0887-10","4","480","5218.26"
"TICAGRELOR 90 MG ORAL TABLET","67877-0491-60","4","480","348.37"
"VASCEPA 1GM CAPSULE","52937-0001-20","2","480","1332.39"
"BREO ELLIPTA 100-25 MCG/ACT INH AEROSOL","00173-0859-10","4","480","3033.65"
"NYSTATIN 100000 UNIT/ML MOUTH/THROAT SUSPENSION","00121-0868-16","1","473","31.74"
"LACTULOSE ENCEPHALOPATHY 10 GM/15ML ORAL SOLUTION","64980-0592-48","1","473","16.05"
"LACTULOSE 10 GM/15ML ORAL SOLUTION","00121-0873-16","1","473","10.97"
"TRIAMCINOLONE ACETONIDE 0.1% CREAM","67877-0251-45","1","454","13.76"
"TRIAMCINOLONE 0.1% EXTERNAL OINTMENT","33342-0333-54","1","454","26.45"
"FINASTERIDE 5MG TAB ***","16729-0090-16","7","450","24.66"
"LISINOPRIL 5MG TABLET","68180-0513-03","5","450","11.54"
"LISINOPRIL-HCTZ 10-12.5MG TAB ***","68180-0518-02","6","450","50.79"
"HYDRALAZINE HCL 25 MG TABLET","23155-0833-10","3","450","11.02"
"ATENOLOL 50MG TABLET","65862-0169-99","4","450","22.77"
"ESCITALOPRAM 10MG TABLET","13668-0136-10","10","435","55.46"
"OXYCODONE HCL 10 MG ORAL TABLET","10702-0056-01","5","434","81.85"
"JANUMET 50-500 MG ORAL TABLET","00006-0575-61","3","420","2141.83"
"CLINDAMYCIN PHOSPHATE 1 % EXTERNAL LOTION","21922-0036-01","6","420","138.83"
"LEVOTHYROXINE 75MCG TABLET","68180-0967-03","6","420","89.26"
"TORSEMIDE 20MG TABLET","50111-0917-03","4","420","47.99"
"CHLORTHALIDONE 25MG TABLET","70756-0011-12","7","420","65.68"
"ELIQUIS 2.5MG TAB ***","00003-0893-21","3","420","1740.00"
"LOSARTAN-HCTZ 100-25MG TABLET","43547-0424-09","6","420","38.50"
"MECLIZINE HCL 25MG TABLET","59746-0121-10","8","409","63.25"
"SERTRALINE 50MG TABLET","65862-0012-05","9","405","51.90"
"LIDOCAINE VISCOUS 2 % ORAL SOLUTION","00054-3500-49","2","400","23.28"
"FREESTYLE LITE TEST  STRIP*****","99073-0708-22","3","400","529.31"
"LANTUS SOLOSTAR 100UNIT/ML INJECTION******","00088-2219-05","25","396","2441.21"
"TRAZODONE 50MG TABLET","50111-0560-03","9","396","45.41"
"CLOTRIMAZOLE 1 % SOLUTION ***","52817-0800-30","13","390","367.79"
"PIOGLITAZONE 30MG TABLET","57237-0220-05","5","390","40.32"
