"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"METFORMIN 1000MG TABLET","70010-0065-05","-29463","142","17610","21838.55","1040.53","-1998.79%","-95.24%","0","500"
"AMLODIPINE 10MG TABLET","67877-0199-05","-67384","269","17564","45666.40","887.18","-5047.37%","-98.06%","0","500"
"OXYCODONE-APAP 10-325MG TABLET","47781-0230-05","433","181","17430","53225.48","3763.40","-1314.29%","-92.93%","0","500"
"ROBAFEN DM 20-200 MG/20ML ORAL LIQUID","00904-7223-20","-50268","64","17110","240.70","679.97","64.6%","182.5%","0","118"
"HYDROCHLOROTHIAZIDE 25MG TABLET","23155-0008-10","-55675","240","17070","348.74","291.78","-19.52%","-16.33%","0","1000"
"EZETIMIBE 10MG TABLET***","67877-0490-05","-39201","226","16620","146948.50","3671.24","-3902.69%","-97.5%","0","500"
"LORATADINE 10MG TAB ***","45802-0650-87","-51042","370","16600","3497.01","3876.71","9.79%","10.86%","0","300"
"IBUPROFEN 100MG/5ML SUSP ***","70000-0181-01","-82914","89","16078","621.68","1240.23","49.87%","99.5%","0","120"
"LACTULOSE 10 GM/15ML ORAL SOLUTION","00121-0873-16","-154465","28","15909","1003.65","455.20","-120.49%","-54.65%","0","473"
"ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% INHALATION NEBULIZATION SOLUTION","76204-0200-30","-46710","106","15840","6043.84","1465.93","-312.29%","-75.75%","0","90"
"CETIRIZINE 10MG TAB ***","16571-0402-50","-49070","320","15339","32901.10","3557.29","-824.89%","-89.19%","0","500"
"LOSARTAN 50MG TABLET","65862-0202-99","-46615","203","15240","29653.55","1075.28","-2657.75%","-96.37%","0","1000"
"METFORMIN 500MG TABLET","69367-0180-05","-120513","141","15162","9187.30","408.86","-2147.05%","-95.55%","0","500"
"SUCRALFATE 1 GM/10ML ORAL SUSPENSION","82182-0106-14","-20160","12","15120","7346.88","1974.41","-272.11%","-73.13%","0","420"
"ATORVASTATIN 80MG TABLET ***","60505-2671-08","-63251","199","15000","90000.00","1586.40","-5573.22%","-98.24%","0","1000"
"ZINC OXIDE 20 % EXTERNAL OINTMENT","00536-1316-98","-33596","33","14982","252.45","454.08","44.4%","79.87%","0","454"
"FLUTICASONE 50MCG (NASAL) SUSPENSION","60505-0829-01","-43008","894","14816","55263.68","9412.01","-487.16%","-82.97%","0","16"
"ROSUVASTATIN 40MG TABLET","70377-0009-13","-36120","195","14370","132204.00","1724.00","-7568.45%","-98.7%","0","500"
"SIMVASTATIN 20MG TABLET","16729-0005-17","-43680","199","14160","28320.00","1047.44","-2603.73%","-96.3%","0","1000"
"SENNA 8.6 MG TABLET *NYM*","00904-7252-80","-33961","204","13909","123.18","2368.15","94.8%","1822.51%","0","1000"
"VITAMIN B-12 1000MCG TABLET","10006-0700-22","-42640","235","13870","373.26","363.47","-2.69%","-2.62%","0","130"
"METFORMIN 1000MG TABLET ***","70010-0065-10","-116480","92","13800","17113.58","334.05","-5023.06%","-98.05%","0","1000"
"LANCET UNISTIK 3 COMFORT (NYM)","08470-1042-01","-13600","111","13600","9328.24","5421.07","-72.07%","-41.89%","0","100"
"JANUMET 50-1000MG TABLET","00006-0577-61","-37860","106","13440","143360.00","69317.64","-106.82%","-51.65%","0","60"
"CETIRIZINE HCL 1 MG/ML ORAL SOLUTION","51672-4070-08","-26520","62","13200","3452.90","874.05","-295.05%","-74.69%","0","120"
"ELECTROLYTE (PED)  SOLUTION **","49348-0161-62","-115000","6","13000","130.00","56.75","-129.07%","-56.35%","0","1000"
"VITAMIN D3 25MCG (1000 UT) TABLET *NYM*","80681-0168-00","-36176","210","12840","240.90","120.61","-99.73%","-49.93%","0","90"
"METOPROLOL SUCCINATE 50MG TABLET ER","45963-0676-96","-41707","153","12765","11568.09","1381.85","-737.15%","-88.05%","0","1000"
"LOSARTAN POTASSIUM 25MG TABLET","68180-0376-03","-38583","188","12690","18362.38","873.24","-2002.79%","-95.24%","0","1000"
"RENA-VITE  TABLET","60258-0160-01","-12478","206","12208","1196.38","743.37","-60.94%","-37.87%","0","100"
"CARVEDILOL 6.25MG TAB ***","68382-0093-05","-35128","76","12060","28944.00","199.26","-14425.75%","-99.31%","0","500"
"ACETAMINOPHEN 500MG TABLET NYM","00904-6720-80","-57150","122","11996","299.92","1285.70","76.67%","328.68%","0","1000"
"REFRESH OPTIVE 0.5-0.9% SOLUTION","00023-3240-15","-38670","722","11910","15880.00","14637.97","-8.48%","-7.82%","0","15"
"KETOCONAZOLE 2% SHAMPOO","45802-0465-64","-76680","99","11880","1920.60","1157.90","-65.87%","-39.71%","0","120"
"LANCETS PRODIGY","08484-0810-28","-137400","87","11500","1175.30","913.45","-28.67%","-22.28%","0","100"
"FAMOTIDINE 20MG TABLET","67877-0842-10","-11563","147","11393","23729.21","663.14","-3478.31%","-97.21%","0","1000"
"ATORVASTATIN 80MG  TABLET","70377-0080-13","-11370","148","11040","54817.28","1131.25","-4745.73%","-97.94%","0","1000"
"LIDOCAINE PAIN RELIEF 4 % EXTERNAL PATCH","00536-1202-07","-18905","312","10890","17387.90","11578.88","-50.17%","-33.41%","0","30"
"CHLORHEXIDINE GLUCONATE 0.12% SOLUTION","00121-0893-16","-116831","23","10879","237.36","158.16","-50.08%","-33.37%","0","473"
"FAMOTIDINE 20MG TABLET","00172-5728-70","-41542","122","10663","22210.50","652.59","-3303.44%","-97.06%","0","500"
"JANUVIA 100MG TAB","00006-0277-31","-33954","133","10650","227200.00","86129.72","-163.79%","-62.09%","0","30"
"AMLODIPINE 2.5MG TABLET","67877-0197-10","-30080","130","10560","21120.00","375.12","-5530.2%","-98.22%","0","1000"
"MAGNESIUM OXIDE 400MG TABLET","10006-0730-38","-26600","162","10480","537.25","156.34","-243.64%","-70.9%","0","120"
"CETIRIZINE HCL 5MG/5ML SOLUTION****","51672-2102-08","-27960","49","10320","4300.00","762.71","-463.78%","-82.26%","0","120"
"MONTELUKAST 10MG TABLET ***","13668-0081-05","-46620","178","10230","36005.38","1141.78","-3053.44%","-96.83%","0","500"
"METOPROLOL SUCCINATE 25MG TABLET ER","70436-0202-02","-40499","147","10185","18333.00","998.01","-1736.96%","-94.56%","0","500"
"LISINOPRIL 40MG TABLET","68180-0979-03","-34669","136","10064","13342.51","605.59","-2103.22%","-95.46%","0","1000"
"TRIAMCINOLONE ACETONIDE 0.1% CREAM","67877-0251-45","-26332","22","9988","482.46","309.08","-56.1%","-35.94%","0","454"
"TORSEMIDE 20MG TABLET","50111-0917-03","-27354","82","9937","7016.24","707.59","-891.57%","-89.91%","0","1000"
"GABAPENTIN 250 MG/5ML ORAL SOLUTION","42192-0608-16","-16486","18","9930","7107.32","1120.90","-534.07%","-84.23%","0","470"
"VASCEPA 1GM CAPSULE","52937-0001-20","-27420","54","9840","29879.20","27238.02","-9.7%","-8.84%","0","120"
"FOLIC ACID 1MG TABLET **","69315-0127-10","-32060","165","9750","975.00","1685.96","42.17%","72.92%","0","1000"
"ATORVASTATIN 40MG TABLET","75834-0257-01","-22424","128","9690","48114.08","933.31","-5055.21%","-98.06%","0","1000"
"OXYCODONE-ACETAMINOPHEN 10-325MG TABLET","47781-0230-01","25","103","9665","29513.79","2013.54","-1365.77%","-93.18%","0","100"
"ATORVASTATIN 10MG TAB ***","60505-2578-08","-40920","167","9660","48300.00","515.28","-9273.54%","-98.93%","0","1000"
"AMMONIUM LACTATE 12%CREAM 385GM","45802-0493-26","-87290","25","9625","1077.25","546.90","-96.97%","-49.23%","0","385"
"SODIUM CHLORIDE 0.9 % INHALATION NEBULIZATION SOLUTION","76204-0300-03","-30000","32","9600","756.80","849.76","10.94%","12.28%","0","300"
"NA SULFATE-K SULFATE-MG SULF 17.5-3.13-1.6 GM/177ML ORAL SOLUTION","67877-0725-92","-9912","25","9558","2732.94","1225.62","-122.98%","-55.15%","0","354"
"TRAZODONE 50MG TABLET","50111-0560-03","-30883","188","9485","5219.09","884.16","-490.29%","-83.06%","0","1000"
"LACTULOSE ENCEPHALOPATHY 10 GM/15ML ORAL SOLUTION","64980-0592-48","-9460","8","9460","596.80","198.76","-200.26%","-66.7%","0","473"
"AMMONIUM LACTATE 12 % EXTERNAL LOTION","51672-1300-05","-27175","41","9400","1974.22","383.64","-414.6%","-80.57%","0","225"
"IBUPROFEN 600MG TAB ***","67877-0320-05","-26404","180","9390","3385.50","1084.51","-212.17%","-67.97%","0","500"
"ACETAMINOPHEN 325MG TABLET","00536-1327-10","-22035","124","9337","101.35","1214.13","91.65%","1097.96%","0","1000"
"ACETAMINOPHEN ER 650MG TABLET ER","00904-7314-27","-21676","115","9088","743.14","1555.25","52.22%","109.28%","0","400"
"ALBUTEROL SULFATE HFA 108 (90 BASE)MCG/ACT AEROSOL","68180-0963-01","-23138","821","9052.5","90525.00","22138.36","-308.91%","-75.54%","0","8.5"
"A&D EXTERNAL OINTMENT","70000-0358-01","-14875","21","8925","260.26","252.21","-3.19%","-3.09%","0","425"
"METOPROLOL SUCCINATE ER 25MG TABLET","70010-0780-05","-9301","115","8865","9309.05","857.57","-985.51%","-90.79%","0","500"
"ATORVASTATIN 10MG TABLET","70377-0077-13","-9556","138","8730","30388.36","693.34","-4282.89%","-97.72%","0","1000"
"IBUPROFEN 800MG TAB ****","67877-0321-05","-20858","155","8696","4900.48","1013.41","-383.56%","-79.32%","0","500"
"IBUPROFEN 100 MG/5ML SUSPENSION","59651-0032-12","-10916","47","8640","1342.08","669.29","-100.52%","-50.13%","0","120"
"TRIAMCINOLONE ACETONIDE 0.1 % EXTERNAL OINTMENT","33342-0333-80","-17200","107","8560","1166.30","1169.60","0.28%","0.28%","0","80"
"PROMETHAZINE HCL 6.25 MG/5ML ORAL SOLUTION","70752-0138-12","-10451","30","8551","746.29","380.86","-95.95%","-48.97%","0","473"
"NAPROXEN 500MG TABLET","65862-0522-05","-32385","154","8519","8293.02","1059.53","-682.71%","-87.22%","0","500"
"CARVEDILOL 25MG TAB ***","68382-0095-05","-41658","62","8400","20160.00","261.11","-7620.88%","-98.7%","0","500"
"FINASTERIDE 5MG TAB ***","16729-0090-16","-23996","124","8340","18249.93","544.28","-3253.04%","-97.02%","0","500"
"GABAPENTIN 600MG TABLET","65862-0523-05","-32182","71","8222","17862.72","516.27","-3359.96%","-97.11%","0","500"
"VITAMIN D 2 000 U TABLET","80681-0132-00","-26070","153","8220","282.22","197.32","-43.03%","-30.08%","0","500"
