"Drug Name","NDC #","Total Rxs","Quantity","Total",
"SYNTHROID 50MCG TABLET","00074-4552-90","2","180","291.07"
"JULUCA 50-25MG TABLET*****","49702-0242-13","6","180","21490.86"
"KERENDIA 20MG TABLET","50419-0541-01","2","180","3826.36"
"CREON 6000-19000 UNIT ORAL CAPSULE DELAYED RELEASE PARTICLES","00032-0046-70","1","180","360.94"
"XARELTO 2.5 MG TABLET","50458-0577-60","1","180","1603.99"
"SYNJARDY 5-1000 MG TABLET","00597-0175-60","3","180","1307.68"
"XIGDUO XR 5-500MG TABLET EXTENDED RELEASE","00310-6250-30","1","180","3346.08"
"PAXIL 20 MG ORAL TABLET","60505-4518-03","3","180","1921.74"
"SEGLUROMET 2.5-1000MG TABLET","00006-5373-03","3","180","1059.20"
"VASCEPA 0.5 GM ORAL CAPSULE","52937-0003-40","3","180","297.78"
"ZTLIDO 1.8 % EXTERNAL PATCH****","69557-0111-30","3","180","2143.99"
"OPZELURA 1.5 % EXTERNAL CREAM","50881-0007-05","3","180","6046.59"
"DEPAKOTE 500MG TABLET DELAYED RELEASE","00074-7327-13","3","180","1353.47"
"SANTYL 250 UNIT/GM EXTERNAL OINTMENT","50484-0010-90","2","180","1915.54"
"XIGDUO XR 5-1000 MG TABLET ER","00310-6260-60","1","180","1683.66"
"ADVAIR DISKUS 250-50MCG/DOSE AEROSOL 60EA***","00173-0696-00","1","180","535.32"
"MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION","24208-0377-05","47","165","42495.78"
"VRAYLAR 3MG CAPSULE","61874-0130-30","5","150","7475.69"
"IYUZEH 0.005 % OPHTHALMIC SOLUTION","82584-0003-30","5","150","1504.14"
"OZEMPIC (2 MG/DOSE) 8 MG/3ML PEN-INJECTOR","00169-4772-12","29","141","44784.02"
"SYMTUZA 800-150-200-10MG TABLET","59676-0800-30","4","120","17932.11"
"ABILIFY 5MG TABLET","59148-0007-13","4","120","2278.28"
"LUMIGAN 0.01% SOLUTION*****","00023-3205-08","16","120","12180.14"
"PREMARIN 0.625 MG/GM VAGINAL CREAM","00046-0872-21","4","120","1763.11"
"BREO ELLIPTA 200-25MCG/INH AEROSOL 60EA*******","00173-0882-10","2","120","771.12"
"EUCRISA 2% OINTMENT*****","55724-0211-21","2","120","1538.48"
"ANORO ELLIPTA 62.5-25MCG/INH AEROSOL 60EA*****","00173-0869-10","2","120","930.36"
"CONTOUR NEXT STRIP DME","00193-7308-50","1","100","13.31"
"VEMLIDY 25 MG ORAL TABLET","61958-2301-01","3","90","4417.63"
"TRINTELLIX 10MG TABLET****","64764-0730-30","3","90","1482.91"
"PENTASA 250 MG ORAL CAPSULE EXTENDED RELEASE","54092-0189-81","3","90","292.33"
"COMBIGAN 0.2-0.5% OPTH SOLUTION 15ML","00023-9211-15","6","90","3484.60"
"DEXILANT 60MG CAP ***","64764-0175-30","3","90","877.10"
"ROZEREM 8MG TABLET","64764-0805-30","3","90","1148.10"
"MYRBETRIQ 25MG TABLET****","00469-2601-30","3","90","1295.91"
"DOVATO 50-300 MG ORAL TABLET","49702-0246-13","3","90","9094.11"
"VELTASSA 8.4GM PACK","53436-0084-30","1","90","3072.59"
"DEPAKOTE ER 250 MG TABLET","00074-7401-13","3","90","357.11"
"DAYVIGO 5 MG ORAL TABLET","62856-0405-30","3","90","1022.62"
"NEXLIZET 180-10MG TABLET","72426-0818-03","1","90","1214.63"
"VELTASSA 16.8 GM ORAL PACKET","53436-0168-30","1","90","3075.64"
"NEXLETOL 180 MG ORAL TABLET","72426-0118-03","1","90","1214.63"
"CRESTOR 5MG TABLET","00310-7560-90","1","90","776.20"
"ARNUITY ELLIPTA 100 MCG/ACT INH AEROSOL","00173-0874-10","1","90","585.10"
"SYNTHROID 75MCG TABLET ***","00074-5182-90","1","90","148.08"
"TRIJARDY XR 10-5-1000 MG ORAL TABLET EXTENDED RELEASE 24 HOUR","00597-0380-68","1","90","982.46"
"SPIRIVA HANDIHALER 18MCG CAPSULE****","00597-0075-41","1","90","966.19"
"SYNTHROID 25 MCG ORAL TABLET","00074-4341-90","1","90","146.18"
"MOUNJARO 5 MG/0.5ML PEN-INJECTOR","00002-1495-80","30","80","41610.21"
"NURTEC 75MG TABLET DISINTEGRATING","72618-3000-02","5","80","10125.89"
"AIRSUPRA 90-80 MCG/ACT INHALATION AEROSOL","00310-9080-12","7","74.89999","3356.79"
"VENTOLIN HFA 108 (90 BASE) ***","00173-0682-20","2","72","223.58"
"SYMBICORT 80-4.5MCG/ACT AEROSOL****","00186-0372-20","7","71.4","1446.45"
"XHANCE 93 MCG/ACT NASAL EXHALER SUSPENSION","71143-0375-01","4","64","2608.13"
"QVAR REDIHALER 40MCG/ACT AEROSOL****","59310-0302-40","6","63.6","1289.10"
"XCOPRI 100 MG ORAL TABLET","71699-0100-30","2","60","2337.17"
"NOVOLOG 100UNIT/ML SOLUTION****","00169-7501-11","2","60","411.94"
"CHOLESTYRAMINE LIGHT 4GM PACK","68382-0529-60","1","60","90.24"
"REXULTI 1MG TABLET","59148-0037-13","2","60","2997.50"
"QULIPTA 30 MG ORAL TABLET","00074-7096-30","2","60","2261.62"
"IBSRELA 50 MG ORAL TABLET","73154-0050-60","1","60","1965.36"
"JANUMET XR 50-1000MG TABLET","00006-0080-61","1","60","313.79"
"MOUNJARO 7.5 MG/0.5ML PEN-INJECTOR","00002-1484-80","19","50","25947.23"
"UBRELVY 50 MG ORAL TABLET","00023-6498-10","3","50","5368.51"
